qps,acu,latency_ms,sla_violation_ms,cost,cold_start,reward,t
225.14,32.0,23.20998576209126,0.0,3.2,False,-3.2,1
230.83,32.0,23.476935901913162,0.0,3.2,False,-3.2,2
231.35,32.0,23.50124970971548,0.0,3.2,False,-3.2,3
196.32,32.0,21.82909377701374,0.0,3.2,False,-3.2,4
194.13,32.0,21.72192453887015,0.0,3.2,False,-3.2,5
213.86,32.0,22.675582989037093,0.0,3.2,False,-3.2,6
195.98,32.0,21.81247855168246,0.0,3.2,False,-3.2,7
185.09,32.0,21.275696526361333,0.0,3.2,False,-3.2,8
197.38,32.0,21.880840735369954,0.0,3.2,False,-3.2,9
194.68,32.0,21.748872211238297,0.0,3.2,False,-3.2,10
199.95,32.0,22.005971427009964,0.0,3.2,False,-3.2,11
196.63,32.0,21.844235675988415,0.0,3.2,False,-3.2,12
204.14,32.0,22.209000130703284,0.0,3.2,False,-3.2,13
191.69,32.0,21.602103267969053,0.0,3.2,False,-3.2,14
177.77,32.0,20.909511041262025,0.0,3.2,False,-3.2,15
201.97,32.0,22.10400051914558,0.0,3.2,False,-3.2,16
188.68,32.0,21.45366684946337,0.0,3.2,False,-3.2,17
255.22,32.0,24.60397974778453,0.0,3.2,False,-3.2,18
197.68,32.0,21.895471495126,0.0,3.2,False,-3.2,19
241.73,32.0,23.9838693140125,0.0,3.2,False,-3.2,20
251.74,32.0,24.444724874414668,0.0,3.2,False,-3.2,21
236.73,32.0,23.752027185080383,0.0,3.2,False,-3.2,22
221.73,32.0,23.049184762434322,0.0,3.2,False,-3.2,23
191.1,32.0,21.573062674604028,0.0,3.2,False,-3.2,24
189.17,32.0,21.47787874514567,0.0,3.2,False,-3.2,25
194.87,32.0,21.758176232718288,0.0,3.2,False,-3.2,26
223.88,32.0,23.15064277683355,0.0,3.2,False,-3.2,27
198.34,32.0,21.92763664828816,0.0,3.2,False,-3.2,28
232.87,32.0,23.57224390964333,0.0,3.2,False,-3.2,29
172.63,32.0,20.649568475312755,0.0,3.2,False,-3.2,30
208.15,32.0,22.402213980019944,0.0,3.2,False,-3.2,31
187.67,32.0,21.403701154560146,0.0,3.2,False,-3.2,32
194.75,32.0,21.75230031707701,0.0,3.2,False,-3.2,33
184.21,32.0,21.23191257052081,0.0,3.2,False,-3.2,34
202.37,32.0,22.123379130121155,0.0,3.2,False,-3.2,35
249.69,32.0,24.350685140616495,0.0,3.2,False,-3.2,36
242.38,32.0,24.0139256222832,0.0,3.2,False,-3.2,37
209.88,32.0,22.48525199559027,0.0,3.2,False,-3.2,38
216.5,32.0,22.80130668508416,0.0,3.2,False,-3.2,39
219.45,32.0,22.941313551539523,0.0,3.2,False,-3.2,40
202.96,32.0,22.15194282753345,0.0,3.2,False,-3.2,41
189.5,32.0,21.494174151158603,0.0,3.2,False,-3.2,42
208.23,32.0,22.40605806188503,0.0,3.2,False,-3.2,43
189.24,32.0,21.481336055525595,0.0,3.2,False,-3.2,44
193.21,32.0,21.67679836204223,0.0,3.2,False,-3.2,45
167.3,32.0,20.377397958580243,0.0,3.2,False,-3.2,46
167.95,32.0,20.410737646758513,0.0,3.2,False,-3.2,47
181.08,32.0,21.07565960310167,0.0,3.2,False,-3.2,48
176.57,32.0,20.849038300862574,0.0,3.2,False,-3.2,49
180.52,32.0,21.047616503236487,0.0,3.2,False,-3.2,50
152.70000000000002,32.0,19.61681503259014,0.0,3.2,False,-3.2,51
209.94,32.0,22.48812855143045,0.0,3.2,False,-3.2,52
175.79,32.0,20.809661866454846,0.0,3.2,False,-3.2,53
193.74,32.0,21.70280264256594,0.0,3.2,False,-3.2,54
160.54,32.0,20.028109213235936,0.0,3.2,False,-3.2,55
168.94,32.0,20.461436363510195,0.0,3.2,False,-3.2,56
167.37,32.0,20.380990403944878,0.0,3.2,False,-3.2,57
361.41,32.0,29.3079767141801,0.0,3.2,False,-3.2,58
