qps,acu,latency_ms,sla_violation_ms,cost,cold_start,reward,t
225.14,4.0,1427.313256635119,1327.313256635119,0.4,False,-332.2283141587797,1
230.83,4.0,1427.313256635119,1327.313256635119,0.4,False,-332.2283141587797,2
231.35,4.0,1427.313256635119,1327.313256635119,0.4,False,-332.2283141587797,3
196.32,4.0,333.6781827655837,233.6781827655837,0.4,False,-58.81954569139592,4
194.13,4.0,263.785411620249,163.78541162024902,0.4,False,-41.346352905062254,5
213.86,8.0,53.234462155412714,0.0,0.8,False,-0.8,6
195.98,8.0,49.104410211429304,0.0,0.8,False,-0.8,7
185.09,8.0,46.761460577853896,0.0,0.8,False,-0.8,8
197.38,8.0,49.41431113348097,0.0,0.8,False,-0.8,9
194.68,8.0,48.81850485378608,0.0,0.8,False,-0.8,10
199.95,8.0,49.9887514058985,0.0,0.8,False,-0.8,11
196.63,8.0,49.24803195185444,0.0,0.8,False,-0.8,12
204.14,8.0,50.94134375779432,0.0,0.8,False,-0.8,13
191.69,8.0,48.167528360754396,0.0,0.8,False,-0.8,14
177.77,8.0,45.24763880608363,0.0,0.8,False,-0.8,15
201.97,8.0,50.44545466928975,0.0,0.8,False,-0.8,16
188.68,8.0,47.52116418617757,0.0,0.8,False,-0.8,17
255.22,8.0,64.74692795380459,0.0,0.8,False,-0.8,18
197.68,8.0,49.48099278187493,0.0,0.8,False,-0.8,19
241.73,8.0,60.613277266562356,0.0,0.8,False,-0.8,20
251.74,8.0,63.63765984212213,0.0,0.8,False,-0.8,21
236.73,8.0,59.185859485322965,0.0,0.8,False,-0.8,22
221.73,8.0,55.18634988199519,0.0,0.8,False,-0.8,23
191.1,8.0,48.04013623294766,0.0,0.8,False,-0.8,24
189.17,8.0,47.625790029278846,0.0,0.8,False,-0.8,25
194.87,8.0,48.860180673816465,0.0,0.8,False,-0.8,26
223.88,8.0,55.7359532489351,0.0,0.8,False,-0.8,27
198.34,8.0,49.628037239218266,0.0,0.8,False,-0.8,28
232.87,8.0,58.118044541347786,0.0,0.8,False,-0.8,29
172.63,8.0,44.210652386672535,0.0,0.8,False,-0.8,30
208.15,8.0,51.8726836800645,0.0,0.8,False,-0.8,31
187.67,8.0,47.30622364534155,0.0,0.8,False,-0.8,32
194.75,8.0,48.8338547352393,0.0,0.8,False,-0.8,33
184.21,8.0,46.577029491571096,0.0,0.8,False,-0.8,34
202.37,8.0,50.53644728313087,0.0,0.8,False,-0.8,35
249.69,8.0,62.998819095156634,0.0,0.8,False,-0.8,36
242.38,8.0,60.80270386513604,0.0,0.8,False,-0.8,37
209.88,8.0,52.28072623625094,0.0,0.8,False,-0.8,38
216.5,8.0,53.87912578319809,0.0,0.8,False,-0.8,39
219.45,8.0,54.61140882805265,0.0,0.8,False,-0.8,40
202.96,8.0,50.6710021620902,0.0,0.8,False,-0.8,41
189.5,8.0,47.69638155189153,0.0,0.8,False,-0.8,42
208.23,8.0,51.89146800989339,0.0,0.8,False,-0.8,43
189.24,8.0,47.64075527296186,0.0,0.8,False,-0.8,44
193.21,8.0,48.49732479004777,0.0,0.8,False,-0.8,45
167.3,8.0,43.15595189789147,0.0,0.8,False,-0.8,46
167.95,8.0,43.28350846041654,0.0,0.8,False,-0.8,47
181.08,8.0,45.92654063667356,0.0,0.8,False,-0.8,48
176.57,8.0,45.00370624641425,0.0,0.8,False,-0.8,49
180.52,8.0,45.81104359591462,0.0,0.8,False,-0.8,50
152.70000000000002,8.0,40.360628382821226,0.0,0.8,False,-0.8,51
209.94,8.0,52.29494750340336,0.0,0.8,False,-0.8,52
175.79,8.0,44.84575933293481,0.0,0.8,False,-0.8,53
193.74,8.0,48.612868780685545,0.0,0.8,False,-0.8,54
160.54,8.0,41.84577145979647,0.0,0.8,False,-0.8,55
168.94,8.0,43.47834411020719,0.0,0.8,False,-0.8,56
167.37,8.0,43.16967494566326,0.0,0.8,False,-0.8,57
361.41,8.0,142.71308490793012,42.713084907930124,0.8,False,-11.478271226982532,58
276.1,8.0,72.1753694916807,0.0,0.8,False,-0.8,59
224.16,8.0,55.80807434416629,0.0,0.8,False,-0.8,60
206.26,8.0,51.43124968877981,0.0,0.8,False,-0.8,61
171.51,8.0,43.987342957035295,0.0,0.8,False,-0.8,62
174.62,8.0,44.6097241991335,0.0,0.8,False,-0.8,63
166.14,8.0,42.92902196551809,0.0,0.8,False,-0.8,64
171.62,8.0,44.00923452615855,0.0,0.8,False,-0.8,65
176.32,8.0,44.95303036307926,0.0,0.8,False,-0.8,66
169.70999999999998,8.0,43.63035423771031,0.0,0.8,False,-0.8,67
168.22,8.0,43.336578402265665,0.0,0.8,False,-0.8,68
146.17,8.0,39.14838446666278,0.0,0.8,False,-0.8,69
149.81,8.0,39.82153744455862,0.0,0.8,False,-0.8,70
175.42000000000002,8.0,44.771001589842534,0.0,0.8,False,-0.8,71
163.61,8.0,42.43715915803807,0.0,0.8,False,-0.8,72
141.87,8.0,38.36096138059274,0.0,0.8,False,-0.8,73
175.33,8.0,44.75283329996177,0.0,0.8,False,-0.8,74
185.82,8.0,46.91498205203093,0.0,0.8,False,-0.8,75
188.25,8.0,47.42953739374803,0.0,0.8,False,-0.8,76
187.29,8.0,47.22560247522415,0.0,0.8,False,-0.8,77
161.12,8.0,41.957054057489096,0.0,0.8,False,-0.8,78
156.75,8.0,41.123503464771694,0.0,0.8,False,-0.8,79
150.92,8.0,40.02809214674906,0.0,0.8,False,-0.8,80
168.32,8.0,43.35624665499172,0.0,0.8,False,-0.8,81
164.12,8.0,42.535975621130234,0.0,0.8,False,-0.8,82
162.83,8.0,42.286347984282074,0.0,0.8,False,-0.8,83
164.75,8.0,42.65827385579545,0.0,0.8,False,-0.8,84
155.17000000000002,8.0,40.82482499634675,0.0,0.8,False,-0.8,85
163.76,8.0,42.466205564896576,0.0,0.8,False,-0.8,86
153.56,8.0,40.521881851122274,0.0,0.8,False,-0.8,87
202.56,8.0,50.57973404476569,0.0,0.8,False,-0.8,88
173.62,8.0,44.40881371549722,0.0,0.8,False,-0.8,89
167.95,8.0,43.28350846041654,0.0,0.8,False,-0.8,90
178.18,8.0,45.33124611312671,0.0,0.8,False,-0.8,91
154.16,8.0,40.63461663925064,0.0,0.8,False,-0.8,92
189.26,8.0,47.64503191781569,0.0,0.8,False,-0.8,93
162.86999999999998,8.0,42.29407254742283,0.0,0.8,False,-0.8,94
166.25,8.0,42.95050252251254,0.0,0.8,False,-0.8,95
164.24,8.0,42.55925078203466,0.0,0.8,False,-0.8,96
165.13,8.0,42.732165471264025,0.0,0.8,False,-0.8,97
179.04,8.0,45.50705948611231,0.0,0.8,False,-0.8,98
158.89,8.0,41.530295454625595,0.0,0.8,False,-0.8,99
158.62,8.0,41.478825337263494,0.0,0.8,False,-0.8,100
147.43,8.0,39.38068809637589,0.0,0.8,False,-0.8,101
156.52,8.0,41.079938354996465,0.0,0.8,False,-0.8,102
159.44,8.0,41.635274425406024,0.0,0.8,False,-0.8,103
144.42,8.0,38.82694296835812,0.0,0.8,False,-0.8,104
177.49,8.0,45.19061867961656,0.0,0.8,False,-0.8,105
