qps,acu,latency_ms,sla_violation_ms,cost,cold_start,reward,t
164.75,64.0,15.484023639228507,0.0,6.4,False,-6.4,84
155.17000000000002,64.0,15.158623596009923,0.0,6.4,False,-6.4,85
163.76,64.0,15.450772164906247,0.0,6.4,False,-6.4,86
153.56,64.0,15.103113942373003,0.0,6.4,False,-6.4,87
202.56,64.0,16.69806711415709,0.0,6.4,False,-6.4,88
173.62,64.0,15.778309757146372,0.0,6.4,False,-6.4,89
167.95,64.0,15.590935874254349,0.0,6.4,False,-6.4,90
178.18,64.0,15.927169893226063,0.0,6.4,False,-6.4,91
154.16,64.0,15.123829483465768,0.0,6.4,False,-6.4,92
189.26,64.0,16.282499043690557,0.0,6.4,False,-6.4,93
162.86999999999998,64.0,15.420807445541394,0.0,6.4,False,-6.4,94
166.25,64.0,15.534245760630643,0.0,6.4,False,-6.4,95
164.24,64.0,15.466904575404504,0.0,6.4,False,-6.4,96
165.13,64.0,15.49676460185059,0.0,6.4,False,-6.4,97
179.04,64.0,15.955067578093303,0.0,6.4,False,-6.4,98
158.89,64.0,15.285957644399307,0.0,6.4,False,-6.4,99
158.62,64.0,15.276758329650475,0.0,6.4,False,-6.4,100
147.43,64.0,14.889461194562537,0.0,6.4,False,-6.4,101
156.52,64.0,15.204981160712212,0.0,6.4,False,-6.4,102
159.44,64.0,15.304676627982722,0.0,6.4,False,-6.4,103
144.42,64.0,14.7831644698848,0.0,6.4,False,-6.4,104
177.49,64.0,15.904746780829154,0.0,6.4,False,-6.4,105
164.09,64.0,15.461865321571475,0.0,6.4,False,-6.4,106
163.78,64.0,15.451444743927903,0.0,6.4,False,-6.4,107
147.66,64.0,14.897545155549839,0.0,6.4,False,-6.4,108
146.82,64.0,14.867994964807819,0.0,6.4,False,-6.4,109
164.7,64.0,15.48234628156781,0.0,6.4,False,-6.4,110
164.88,64.0,15.488383772239322,0.0,6.4,False,-6.4,111
164.34,64.0,15.470263007056365,0.0,6.4,False,-6.4,112
171.92,64.0,15.722400939405585,0.0,6.4,False,-6.4,113
180.2,64.0,15.99260991213233,0.0,6.4,False,-6.4,114
172.89,64.0,15.754329770609063,0.0,6.4,False,-6.4,115
