episode,reward,td_loss,steps,agent
0,-142758.1578054328,129.19515360767642,720,LinearQ
1,-138421.60577718288,68.86991953841515,720,LinearQ
2,-141419.5073379662,54.64588870174355,720,LinearQ
3,-140055.8847494659,39.63272373672161,720,LinearQ
4,-129544.7658793125,34.07886157681545,720,LinearQ
5,-130816.99849117764,28.941561513383768,720,LinearQ
6,-125927.05678519547,27.965250738503205,720,LinearQ
7,-116596.49784946514,24.170749572747283,720,LinearQ
8,-110448.86075247114,20.276663980508843,720,LinearQ
9,-121151.41352352785,23.314318794922695,720,LinearQ
10,-117304.58651205363,21.46475192254616,720,LinearQ
11,-113069.55771625407,19.413510582016574,720,LinearQ
12,-110612.89677828114,20.309018755538595,720,LinearQ
13,-106022.06675071392,16.79466981254518,720,LinearQ
14,-104156.71345835399,19.847708188954535,720,LinearQ
15,-104970.82305998141,19.667760127658646,720,LinearQ
16,-96367.74722235388,16.502941127287016,720,LinearQ
17,-104869.42198415539,16.94008191211356,720,LinearQ
18,-89899.34913439116,13.974425901803706,720,LinearQ
19,-93886.84439774977,15.702464121580125,720,LinearQ
20,-96516.36658310422,13.380603248129288,720,LinearQ
21,-79219.80541089251,10.998402595188882,720,LinearQ
22,-84665.53438226818,11.852979842159483,720,LinearQ
23,-74189.44933184185,11.077125371578667,720,LinearQ
24,-76635.05020831065,10.12394310782353,720,LinearQ
25,-81543.19213590906,12.529612729946772,720,LinearQ
26,-68957.21881725051,10.35124049782753,720,LinearQ
27,-61915.285846200604,8.122445712486902,720,LinearQ
28,-70402.06070365402,9.33192184070746,720,LinearQ
29,-57836.94049358945,8.769745523399777,720,LinearQ
30,-61451.30651558757,8.948937996890809,720,LinearQ
31,-54261.443872328775,7.917837988668018,720,LinearQ
32,-50863.013251661345,7.548446697658963,720,LinearQ
33,-58957.908904021446,7.630877699454626,720,LinearQ
34,-48883.1004897796,6.389348647329542,720,LinearQ
35,-47009.8824095295,6.817433361874686,720,LinearQ
36,-46802.31909409503,7.59533441927698,720,LinearQ
37,-42182.57504929124,4.918527851833238,720,LinearQ
38,-43912.16783047543,5.71684531238344,720,LinearQ
39,-38029.262991903604,5.074852782156732,720,LinearQ
40,-36464.49973060642,4.853958039482435,720,LinearQ
41,-31749.98061978964,5.0412286731931895,720,LinearQ
42,-24226.575367017125,3.389020823770099,720,LinearQ
43,-23520.024162608504,3.2686303834120434,720,LinearQ
44,-24354.868114365694,3.141474364201228,720,LinearQ
45,-22615.310651864333,2.982921118206448,720,LinearQ
46,-20265.437646910992,2.643410266107983,720,LinearQ
47,-14354.946402827743,2.108618942896525,720,LinearQ
48,-12283.26621185535,1.8464781992965273,720,LinearQ
49,-10300.551384219689,2.9145326866043937,720,LinearQ
50,-11604.09939759127,1.5967359198464288,720,LinearQ
51,-7934.118236803969,1.453406700823042,720,LinearQ
